CodeCrush;Pushkin St., 14, Moscow;2022/07/01;Sustainability;49;8;50;86;145;46
HackHive;Petrovsky Blvd., 7, St. Petersburg;2022/07/02;Education Technology;16;4;72;197;59;24
Build-a-thon;Lenin Ave., 32, Novosibirsk;2022/07/03;Healthcare;29;5;32;74;46;133
Hack-a-palooza;Tchaikovsky St., 18, Kazan;2022/07/04;Social Justice;31;18;67;162;99;128
CodeCon;Gorky St., 45, Yekaterinburg;2022/07/05;Cybersecurity;23;18;56;79;192;15
HackFest;Kirov St., 69, Nizhny Novgorod;2022/07/06;Internet of Things (IoT);35;16;25;80;122;148
HackTheFuture;Tolstoy St., 5, Samara;2022/07/07;Augmented Reality (AR) or Virtual Reality (VR);32;10;100;193;120;47
DevCon;Dostoevsky St., 12, Omsk;2022/07/09;Gaming;72;6;19;131;29;97
HackXtreme;Chekhov St., 22, Chelyabinsk;2022/07/10;Blockchain;65;6;36;93;147;45
CodeSprint;Gagarin St., 8, Rostov-on-Don;2022/07/12;Artificial Intelligence (AI);62;9;65;95;111;134
Hack-a-Code;Pushkin St., 21, Krasnodar;2022/07/13;Smart Home;45;10;92;180;159;152
HackNexus;Lomonosov St., 14, Ufa;2022/07/15;Finance and Banking;27;12;47;132;10;20
CodeCamp;Mayakovsky St., 6, Volgograd;2022/07/17;Agriculture;26;6;78;62;107;127
HackQuest;Lenin St., 3, Perm;2022/07/18;Transportation;46;5;26;90;114;143
DevelopFest;Turgenev St., 29, Voronezh;2022/07/19;Mobile Applications;52;10;99;113;51;94
CodeFrenzy;Sholokhov St., 10, Saratov;2022/07/20;Data Analysis;70;7;96;13;126;50
HackStorm;Gogol St., 16, Krasnoyarsk;2022/07/21;Machine Learning;23;16;98;76;73;81
DevHacks;Ostrovsky St., 2, Tyumen;2022/07/23;Robotics;15;4;7;71;183;167
CodeSlinger;Shukhov St., 11, Izhevsk;2022/07/24;Accessibility;16;12;83;108;80;32
HackTheWorld;Krylov St., 9, Irkutsk;2022/07/26;Energy Efficiency;23;11;81;9;199;145
HackersParadise;Griboedov St., 23, Barnaul;2022/07/27;Disaster Relief;30;13;10;160;29;42
CodeChaos;Bulgakov St., 8, Vladivostok;2022/07/29;Wearable Technology;34;13;17;151;21;66
HackFusion;Kuprin St., 17, Yaroslavl;2022/07/30;Food and Nutrition;26;10;40;164;179;86
Build2Win;Tolstoy St., 34, Tomsk;2022/07/31;Civic Engagement;14;3;35;150;120;6
CodeOn;Gorky St., 56, Khabarovsk;2022/08/02;Mental Health;26;17;104;36;80;167
HackMeister;Leskov St., 27, Orenburg;2022/08/03;Open Source Development;46;11;23;81;100;64
